codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0023085501,0240,2020-03-11T07:50:00.000,0,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Precipitacion,mm
0015035020,0240,2020-03-11T12:30:00.000,0,TERMOGUAJIRA  - AUT,LA GUAJIRA,DIBULLA,CARIBE - GUAJIRA,11.2525,-73.41138889,Precipitacion,mm
0026155220,0240,2020-03-11T13:10:00.000,0,VILLAMARIA - AUT,CALDAS,VILLAMARIA,CAUCA,5.048666667,-75.51388889,Precipitacion,mm
0026125710,0240,2020-03-11T13:30:00.000,0,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,CAUCA,4.813,-75.74,Precipitacion,mm
0026237040,0240,2020-03-11T01:40:00.000,0,PTO VALDIVIA,ANTIOQUIA,VALDIVIA,CAUCA,7.287,-75.396,Precipitacion,mm
0021055501,0240,2020-03-11T11:00:00.000,0,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345830556,-75.87805556,Precipitacion,mm
0024027070,0240,2020-03-11T04:30:00.000,0,MERIDA - AUT,SANTANDER,PÁRAMO,SOGAMOSO,6.444722222,-73.15833333,Precipitacion,mm
2319500125,0240,2020-03-11T02:00:00.000,0,POLIDEPORTIVO CACHIRA - AUT,NORTE DE SANTANDER,CÁCHIRA,MEDIO MAGDALENA,7.649638889,-73.178361111,Precipitacion,mm
0026155150,0240,2020-03-11T01:00:00.000,0,LAS BRISAS - AUT,CALDAS,VILLAMARIA,MEDIO MAGDALENA,4.934527778,-75.35038889,Precipitacion,mm
0021057050,0240,2020-03-11T20:20:00.000,0,VEGA EL SALADO  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.331444444,-75.94216667,Precipitacion,mm
0021015502,0240,2020-03-11T18:35:00.000,0,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.851416667,-76.30433056,Precipitacion,mm
0026145505,0240,2020-03-11T15:00:00.000,0,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,CAUCA,4.979219444,-75.83555556,Precipitacion,mm
0035217060,0240,2020-03-11T16:30:00.000,0,PERENCO: EL PLAYON,CASANARE,NUNCHÍA,META,5.54,-72.232,Precipitacion,mm
0021137050,0240,2020-03-11T16:10:00.000,0,RIO ANGOSTURA  - AUT,TOLIMA,NATAGAIMA,ALTO MAGDALENA,3.443194444,-75.11880556,Precipitacion,mm
0026217010,0240,2020-03-11T03:30:00.000,0,LA GALERA - AUT,ANTIOQUIA,SANTA FE DE ANTIOQUIA,CAUCA,6.554972222,-75.86419444,Precipitacion,mm
0023065502,0240,2020-03-11T09:30:00.000,0,LA PALMA  - AUT,CUNDINAMARCA,LA PALMA,MEDIO MAGDALENA,5.330266667,-74.40156111,Precipitacion,mm
2301700089,0240,2020-03-11T01:20:00.000,0,GUALÍ ALERTAS - AUT,TOLIMA,FRESNO,MEDIO MAGDALENA,5.134277778,-75.062055556,Precipitacion,mm
0021115501,0240,2020-03-11T01:10:00.000,0,TELLO  - AUT,HUILA,TELLO,ALTO MAGDALENA,2.960666667,-75.02849722,Precipitacion,mm
0026125508,0240,2020-03-11T20:20:00.000,0,LACATALINA  - AUT,RISARALDA,PEREIRA,CAUCA,4.7475,-75.73805556,Precipitacion,mm
0035085080,0240,2020-03-11T22:50:00.000,0,LA CAPILLA - AUT,BOYACÁ,LA CAPILLA,META,5.099194444,-73.436,Precipitacion,mm
0014019030,0240,2020-03-11T14:20:00.000,0,CC DIQUE: CIOH,BOLÍVAR,CARTAGENA DE INDIAS,CARIBE - LITORAL,10.391,-75.534,Precipitacion,mm
0026247010,0240,2020-03-11T12:00:00.000,0,PALMIRA HACIENDA  - AUT,ANTIOQUIA,CÁCERES,CAUCA,7.796777778,-75.37252778,Precipitacion,mm
0024035390,0240,2020-03-11T19:40:00.000,0,PARAMO ALMORZADERO  - AUT,SANTANDER,CERRITO,SOGAMOSO,6.945388889,-72.69633333,Precipitacion,mm
0021206790,0240,2020-03-11T22:30:00.000,0,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCÓN,ALTO MAGDALENA,5.0905,-73.88125,Precipitacion,mm
0029067150,0240,2020-03-11T14:40:00.000,0,GANADERIA CARIBE  - AUT,MAGDALENA,ARACATACA,BAJO MAGDALENA,10.57491667,-74.12666667,Precipitacion,mm
0021205502,0240,2020-03-11T15:00:00.000,0,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,ALTO MAGDALENA,4.544997222,-74.44055556,Precipitacion,mm
0025020440,0240,2020-03-11T11:20:00.000,0,SAN PEDRO - LA MOJANA TX GPRS/GOES,SUCRE,SAN PEDRO,BAJO MAGDALENA- CAUCA -SAN JORGE,9.402,-75.016,Precipitacion,mm
0023025502,0240,2020-03-11T09:30:00.000,0,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,MEDIO MAGDALENA,5.044997222,-75.33221944,Precipitacion,mm
0029047070,0240,2020-03-11T07:40:00.000,0,SAN PEDRITO - TX GPRS,ATLÁNTICO,SUAN,BAJO MAGDALENA,10.268,-74.908,Precipitacion,mm
0028025502,0240,2020-03-11T09:30:00.000,0,APTO ALFONSO LOPEZ,CESAR,VALLEDUPAR,CESAR,10.436,-73.248,Precipitacion,mm
0026115501,0240,2020-03-11T06:30:00.000,0,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,CAUCA,4.213611111,-76.31497222,Precipitacion,mm
1206500136,0240,2020-03-11T13:40:00.000,0,UNIVERSIDAD UNAD CARTAGENA - AUT,BOLIVAR,CARTAGENA DE INDIAS,CARIBE - LITORAL,10.400311111,-75.513280556,Precipitacion,mm
0026145503,0240,2020-03-11T12:20:00.000,0,ANSERMA  - AUT,CALDAS,ANSERMA,CAUCA,5.231330556,-75.77961667,Precipitacion,mm
0011057020,0240,2020-03-11T10:30:00.000,0,SAN ANTONIO PADUA  - AUT,ANTIOQUIA,VIGIA DEL FUERTE,ATRATO - DARIÉN,6.286666667,-76.76180556,Precipitacion,mm
0021237020,0240,2020-03-11T06:20:00.000,0,ARRANCAPLUMAS  - AUT,CUNDINAMARCA,GUADUAS,ALTO MAGDALENA,5.202416667,-74.72761111,Precipitacion,mm
0021165502,0240,2020-03-11T12:35:00.000,0,VILLARICA  - AUT,TOLIMA,VILLARRICA,ALTO MAGDALENA,3.955641667,-74.59178611,Precipitacion,mm
0025025030,0240,2020-03-11T06:00:00.000,0,AYAPEL,CÓRDOBA,AYAPEL,BAJO MAGDALENA- CAUCA -SAN JORGE,8.295,-75.165,Precipitacion,mm
0024030680,0240,2020-03-11T15:20:00.000,0,EL PARAMO - AUT,SANTANDER,CARCASÍ,SOGAMOSO,6.653333333,-72.59083333,Precipitacion,mm
0037015030,0240,2020-03-11T05:30:00.000,0,BERLIN - AUT,SANTANDER,TONA,ARAUCA,7.187,-72.8685,Precipitacion,mm
0035105050,0240,2020-03-11T06:00:00.000,0,GUAICARAMO  - AUT,META,BARRANCA DE UPÍA,META,4.468666667,-72.95358333,Precipitacion,mm
5204700100,0240,2020-03-11T00:20:00.000,0,PUENTE LOS DOLORES - AUT,NARIÑO,PASTO,PATÍA,1.199805556,-77.265694444,Precipitacion,mm
1602500110,0240,2020-03-11T08:50:00.000,0,ARBOLEDAS - AUT,NORTE DE SANTANDER,ARBOLEDAS,CATATUMBO,7.645111111,-72.799169444,Precipitacion,mm
0021127030,0240,2020-03-11T02:40:00.000,0,SANTA MARIA  - AUT,HUILA,SANTA MARÍA,ALTO MAGDALENA,2.971777778,-75.59244444,Precipitacion,mm
2805500075,0240,2020-03-11T00:40:00.000,0,CURUMANÍ - AUT,CESAR,CURUMANÍ,CESAR,9.238138889,-73.512916667,Precipitacion,mm
