periodo,par_metro,c_digo,categoria,estaci_n,municipio,departamento,ao,altitud_m,longitud,latitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,anual
1961-1990,PRECIPITACIÓN,35070120,PM,Macanal,Macanal,Boyacá,6,1710,-73.32,4.97,27.6,55.0,97.0,192.8,324.3,378.7,389.6,306.6,219.5,160.9,107.0,54.4,2313.3
1961-1990,PRECIPITACIÓN,35070130,PM,Quebrada Honda,Macanal,Boyacá,6,1200,-73.31,4.95,30.5,65.4,101.7,225.0,332.1,400.7,418.3,337.5,250.1,191.2,118.8,63.9,2535.2
1961-1990,PRECIPITACIÓN,24030560,PM,Mongüa,Mongua,Boyacá,6,2900,-72.79,5.76,26.3,34.5,66.7,129.2,114.4,105.2,165.0,116.1,112.9,96.0,92.1,41.3,1099.8
1961-1990,PRECIPITACIÓN,24030190,PM,Monguí,Monguí,Boyacá,6,2970,-72.85,5.72,17.0,33.0,70.3,134.6,123.3,78.4,73.8,54.7,63.7,107.8,91.5,30.9,878.9
1961-1990,PRECIPITACIÓN,24015020,CO,Bertha,Moniquirá,Boyacá,6,1700,-73.60,5.88,55.5,73.3,137.7,248.2,270.7,191.6,147.8,150.8,194.2,260.6,177.0,77.5,1984.9
1961-1990,PRECIPITACIÓN,23120050,PM,Muzo,Muzo,Boyacá,6,850,-74.10,5.53,120.0,152.1,202.1,352.9,371.7,206.4,151.5,133.6,237.8,384.9,256.3,158.0,2727.2
1961-1990,PRECIPITACIÓN,24035150,CP,Belencito,Nobsa,Boyacá,6,2530,-72.89,5.78,22.2,38.8,74.0,111.1,90.8,52.6,45.1,42.9,65.3,110.6,94.4,38.5,786.4
1961-1990,PRECIPITACIÓN,24030790,PM,Nobsa,Nobsa,Boyacá,6,2500,-72.94,5.77,23.8,36.4,67.3,140.3,112.4,58.9,51.9,48.8,68.7,136.0,109.0,41.9,895.5
1961-1990,PRECIPITACIÓN,24035180,CO,San Rafael,Nobsa,Boyacá,6,2548,-72.98,5.78,23.2,39.8,68.8,118.0,106.4,63.3,44.7,47.7,73.9,124.3,87.9,40.5,838.3
1961-1990,PRECIPITACIÓN,35075010,AM,Nuevo Colón,Nuevo Colón,Boyacá,6,2438,-73.45,5.35,14.6,32.3,52.8,93.3,104.7,124.6,115.5,98.0,81.9,102.8,67.6,37.3,925.3
1961-1990,PRECIPITACIÓN,24030510,PM,El Cerezo,Paipa,Boyacá,6,2900,-73.07,5.70,23.9,48.8,103.1,157.8,162.8,81.2,66.0,75.6,88.8,159.7,122.5,57.0,1147.1
1961-1990,PRECIPITACIÓN,24025030,CP,La Sierra   AUT,Paipa,Boyacá,6,2700,-73.16,5.97,96.4,142.1,233.1,261.1,222.6,93.9,72.6,97.2,135.0,286.7,223.6,125.9,1990.3
1961-1990,PRECIPITACIÓN,24010870,PM,Palermo,Paipa,Boyacá,6,2200,-73.20,5.90,76.7,91.3,154.6,184.9,156.3,76.8,55.0,57.3,108.4,213.3,158.6,94.0,1427.2
1961-1990,PRECIPITACIÓN,24035430,AM,Tunguavita   AUT,Paipa,Boyacá,6,2470,-73.12,5.75,26.4,50.0,85.2,117.6,127.7,75.6,49.2,59.7,86.5,142.9,99.1,42.7,962.6
1961-1990,PRECIPITACIÓN,35190050,PM,Pajarito,Pajarito,Boyacá,6,842,-72.70,5.30,29.5,51.9,153.5,301.3,521.9,575.7,617.8,630.4,558.1,397.7,224.2,71.2,4133.3
1961-1990,PRECIPITACIÓN,23120140,PM,Pauna,Pauna,Boyacá,6,1225,-73.98,5.65,113.5,160.7,222.9,339.7,257.3,126.2,94.0,109.5,201.4,387.6,350.2,202.6,2565.5
1961-1990,PRECIPITACIÓN,23120120,PM,Santa Rita,Pauna,Boyacá,6,2800,-73.92,5.60,46.0,73.1,91.4,170.2,156.5,78.9,57.6,58.3,98.9,182.6,166.0,82.9,1262.4
1961-1990,PRECIPITACIÓN,24030120,PG,Pesca,Pesca,Boyacá,6,2678,-73.08,5.52,10.5,20.4,39.6,95.4,106.0,75.1,58.8,63.6,63.7,99.5,83.2,25.7,741.5
1961-1990,PRECIPITACIÓN,35070010,PG,Ramiriquí,Ramiriquí,Boyacá,6,2360,-73.33,5.40,23.1,29.9,51.2,123.1,153.4,149.9,153.2,128.0,98.0,121.4,97.5,39.9,1168.6
1961-1990,PRECIPITACIÓN,24010180,PM,Ráquira,Ráquira,Boyacá,6,2290,-73.63,5.54,51.6,76.6,132.6,187.8,118.6,60.6,28.9,28.0,69.4,195.5,171.3,75.4,1196.4
1961-1990,PRECIPITACIÓN,24015360,CO,La Granja Saboya,Saboyá,Boyacá,6,2550,-73.76,5.70,40.8,83.6,122.1,197.4,164.4,85.6,70.2,69.1,125.0,234.4,156.7,78.0,1427.3
