nombre_estacion,departamento,municipio,latitud,longitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,indicador
Aeropuerto Perales,TOLIMA,IBAGUÉ,4.42,-75.14,4615.6,4583.3,4621.2,4659.7,4627.9,4717.9,4896.1,5037.4,4846.8,4679.7,4404.6,4332.7,Radiacion_Solar_Global
Batallón Rooke,TOLIMA,IBAGUÉ,4.42,-75.25,4507.3,4546.3,4579.3,4532.7,4555.7,4985.3,5160.1,4981.4,5087.8,4621.3,4208.1,4269.5,Radiacion_Solar_Global
Cerros Noroccidentales,TOLIMA,IBAGUÉ,4.47,-75.24,3515.5,3242.6,3007.1,3320.4,3102.1,3584.5,4085.8,4330.9,4622.8,3405.3,2535.5,2812.9,Radiacion_Solar_Global
Murillo,TOLIMA,MURILLO,4.87,-75.17,3692.8,3880.7,3944.4,4051.6,4640.1,5260.4,5402.0,5188.0,4914.5,3846.2,3455.5,3603.4,Radiacion_Solar_Global
Las Brisas,VALLE DEL CAUCA,ANSERMANUEVO,4.78,-76.14,4335.8,4280.4,4324.8,4401.5,4368.9,4975.0,5294.2,5174.4,5234.5,4616.6,4112.2,4353.9,Radiacion_Solar_Global
Base aerea Marco Fidel Suarez,VALLE DEL CAUCA,CALI,3.45,-76.5,4513.5,4823.4,4704.5,4839.7,4477.3,4627.4,5197.6,5595.0,5275.2,4512.0,4224.0,4477.2,Radiacion_Solar_Global
Siloe,VALLE DEL CAUCA,CALI,3.43,-76.56,4122.4,4481.3,4533.9,4370.4,4131.4,4260.9,4738.0,4738.9,4961.7,4320.6,3751.5,4063.9,Radiacion_Solar_Global
Univalle,VALLE DEL CAUCA,CALI,3.38,-76.53,4568.3,4564.2,4525.8,4436.1,4312.8,4488.1,4762.5,4829.5,4794.4,4473.5,4133.4,4234.4,Radiacion_Solar_Global
Zaragoza,VALLE DEL CAUCA,CARTAGO,4.69,-75.93,5038.0,5050.5,5450.6,5271.9,5116.4,5197.0,5457.2,5382.2,5701.1,5059.5,4938.4,4817.3,Radiacion_Solar_Global
La Diana,VALLE DEL CAUCA,FLORIDA,3.31,-76.19,3783.8,3961.6,3668.8,3563.4,3382.2,3476.3,3600.3,3758.4,3813.4,3543.3,3342.7,3475.0,Radiacion_Solar_Global
El Vinculo,VALLE DEL CAUCA,GUADALAJARA DE BUGA,3.83,-76.3,4300.9,3992.0,4448.7,4498.5,4138.6,4219.7,4341.0,4379.7,4588.7,4222.4,4196.3,4297.6,Radiacion_Solar_Global
La independencia,VALLE DEL CAUCA,JAMUNDÍ,3.19,-76.57,5062.9,5373.4,5121.5,4971.5,4719.5,4669.1,5015.3,5318.3,5537.0,5218.1,4878.7,4900.1,Radiacion_Solar_Global
Aeropuerto Alfonso Bonilla Aragón,VALLE DEL CAUCA,PALMIRA,3.53,-76.38,5019.7,5210.0,5076.0,4599.0,4751.1,4707.2,5032.5,4729.0,5280.3,4951.4,4775.1,4861.7,Radiacion_Solar_Global
Ing. Manuelita,VALLE DEL CAUCA,PALMIRA,3.57,-76.28,4658.4,4628.7,4675.2,4529.6,4370.9,4241.6,4553.6,4701.2,4606.9,4552.2,4367.8,4407.4,Radiacion_Solar_Global
Las Gaviotas,VICHADA,CUMARIBO,4.55,-70.93,5160.0,5015.6,4708.3,4254.0,4016.3,3849.8,4007.2,4238.9,4563.5,4502.4,4398.9,4839.8,Radiacion_Solar_Global
