col_0_NIVEL,col_1_CODIGO,col_2_DESCRIPTIVA,col_3_Dic-14,col_4_Ene-15,col_5_Feb-15,col_6_Mar-15,col_7_Abr-15,col_8_May-15,col_9_Jun-15,col_10_Jul-15,col_11_Ago-15,col_12_Sep-15,col_13_Oct-15,col_14_Nov-15,col_15_Dic-15,col_16_Ene-16,col_17_Feb-16,col_18_Mar-16,col_19_Abr-16,col_20_May-16,col_21_Jun-16,col_22_Jul-16,col_23_Ago-16,col_24_Sep-16,col_25_Oct-16,col_26_Nov-16,col_27_Dic-16,col_28_Ene-17,col_29_Feb-17,col_30_Mar-17,col_31_Abr-17,col_32_May-17,col_33_Jun-17,col_34_Jul-17,col_35_Ago-17,col_36_Sep-17,col_37_Oct-17,col_38_Nov-17,col_39_Dic-17,col_40_Ene-18,col_41_Feb-18,col_42_Mar-18,col_43_Abr-18,col_44_May-18,col_45_Jun-18,col_46_Jul-18,col_47_Ago-18,col_48_Sep-18,col_49_Oct-18,col_50_Nov-18,col_51_Dic-18,col_52_Ene-19,col_53_Feb-19,col_54_Mar-19,col_55_Abr-19,col_56_May-19,col_57_Jun-19,col_58_Jul-19,col_59_Ago-19,col_60_Sep-19,col_61_Oct-19,col_62_Nov-19,col_63_Dic-19,col_64_Ene-20,col_65_Feb-20,col_66_Mar-20,col_67_Abr-20,col_68_May-20,col_69_Jun-20,col_70_Jul-20,col_71_Ago-20,col_72_Sep-20,col_73_Oct-20,col_74_Nov-20,col_75_Dic-20,col_76_ene-21 (pr)*,"col_77_enero/2021
(definitivos)
Disponibles desde el 04 de marzo de 2021",col_78_feb-21 (pr)*,"col_79_febrero/2021
(definitivos)
Disponibles desde el 05 de abril de 2021",col_80_mar-21 (pr)*,"col_81_marzo/2021
(definitivos)
Disponibles desde el 04 de mayo de 2021",col_82_abr-21 (pr)*,"col_83_Abril/2021
(definitivos)
Disponibles desde el 04 de junio de 2021",col_84_May-21 (pr)*,"col_85_Mayo/2021
(definitivos)
Disponibles desde el 02 de Julio de 2021",col_86_Jun-21 (pr)*,"col_87_Jun-21 (definitivos)
Disponibles desde el 04 de Agosto de 2021",col_88_Jul-21 (pr)*,"col_89_Jul-21 (definitivos)
Disponibles desde el 03 de Septiembre de 2021",col_90_Ago-21 (pr)*,"col_91_Ago-21 (definitivos)
Disponibles desde el 04 de Octubre de 2021",col_92_Sep-21 (pr)*,"col_93_Sep-21 (definitivos)
Disponibles desde el 04 de Noviembre de 2021",col_94_Oct-21 (pr)*,col_95_Oct-21 (definitivos)  Disponibles desde el 15 de Diciembre de 2021,col_96_Nov-21 (pr)*,col_97_Nov-21 (definitivos) Disponibles desde el 4 de Enero de 2022,col_98_Dic-21 (pr)*,col_99_Dic-21 (definitivos) Disponibles desde el 4 de Febrero de 2022,col_100_Ene-22 (pr)*,col_101_Ene-22 (definitivos) Disponibles desde el 4 de Marzo de 2022,col_102_Feb-22 (pr)*,col_103_Feb-22 (definitivos) Disponibles desde el 4 de Abril de 2022,col_104_Mar-22 (pr)*,col_105_Mar-22 (definitivos) Disponibles desde el 4 de Mayo de 2022,col_106_Abr-22 (pr)*,col_107_Abr-22 (definitivos) Disponibles desde el 3 de Junio de 2022,col_108_May-22 (pr)*,col_109_May-22 (definitivos) Disponibles desde el 5 de Julio de 2022,col_110_Jun-22 (pr)*,col_111_Jun-22 (definitivos) Disponibles desde el 4 de Agosto de 2022,col_112_Jul-22 (pr)*,col_113_Jul-22 (definitivos) Disponibles desde el 5 de Septiembre de 2022,col_114_Ago-22 (pr)*,col_115_Ago-22 (definitivos) Disponibles desde el 4 de Octubre de 2022,col_116_Sep-22 (pr)*,col_117_Sep-22 (definitivos) Disponibles desde el 4 de Noviembre de 2022,col_118_Oct-22 (pr)*,col_119_Oct-22 (definitivos) Disponibles desde el 5 de Diciembre de 2022,col_120_Nov-22 (pr)*,col_121_Nov-22 (definitivos) Disponibles desde el 4 de Enero de 2023,col_122_Dic-22 (pr)*,col_123_Dic-22 (definitivos) Disponibles desde el 3 de Febrero de 2023,col_124_Ene-23 (pr)*,col_125_Ene-23 (definitivos) Disponibles desde el 3 de Marzo de 2023,col_126_Feb-23 (pr)*,col_127_Feb-23 (definitivos) Disponibles desde el 5 de Abril de 2023,col_128_Mar-23 (pr)*,col_129_Mar-23 (definitivos) Disponibles desde el 4 de Mayo de 2023,col_130_Abr-23 (pr)*,col_131_Abr-23 (definitivos) Disponibles desde el 5 de Junio de 2023,col_132_May-23 (pr)*,col_133_May-23 (definitivos) Disponibles desde el 5 de Julio de 2023,col_134_Jun-23 (pr)*,col_135_Jun-23 (definitivos) Disponibles desde el 4 de Agosto de 2023,col_136_Jul-23 (pr)*,col_137_Jul-23 (definitivos) Disponibles desde el 4 de Septiembre de 2023,col_138_Ago-23 (pr)*,col_139_Ago-23 (Definitivos) Disponibles desde el 4 de Octubre de 2023,col_140_Sep-23 (pr)*,col_141_Sep-23 (definitivos) Disponibles desde el 3 de Noviembre de 2023,col_142_Oct-23 (pr)*,col_143_Oct-23 (definitivos) Disponibles desde el 5 de Diciembre de 2023,col_144_Nov-23 (pr)*,col_145_Nov-23 (definitivos) Disponibles desde el 4 de Enero de 2024,col_146_Dic-23 (pr*),col_147_Dic-23 (definitivos) Disponibles desde el 5 de Febrero de 2024,col_148_Ene-24 (pr)*,col_149_Ene-24 (definitivos) Disponibles desde el 4 de Marzo de 2024,col_150_Feb-24 (pr*),col_151_Feb-24 (definitivos) Disponibles desde el 4 de Abril de 2024,col_152_Mar-24 (pr*),col_153_Mar-24 (definitivos) Disponibles desde el 6 de Mayo de 2024,col_154_Abr-24 (pr*),col_155_Abr-24 (definitivos) Disponibles desde el 5 de Junio de 2024,col_156_May-24 (pr*),col_157_May-24 (definitivos) Disponibles desde el 4 de Julio de 2024,col_158_Jun-24 (pr*),col_159_Jun-24 (definitivos) Disponibles desde el 4 de Agosto de 2024,col_160_Jul-24 (pr*),col_161_Jul-24 (definitivos) Disponibles desde el 4 de Septiembre de 2024,col_162_Ago-24 (pr*),col_163_Ago-24 (definitivos) Disponibles desde el 4 de Octubre de 2024,col_164_Sep-24 (pr*),col_165_Sep-24 (definitivos) Disponibles desde el 5 de Noviembre de 2024,col_166_Oct-24 (pr*),col_167_Oct-24 (definitivos) Disponibles desde el 4 de Diciembre de 2024,col_168_Nov-24 (pr*),col_169_Nov-24 (definitivos) Disponibles desde el 7 de Enero de 2025,col_170_Dic-24 (pr*),col_171_Dic-24 (definitivos) Disponibles desde el 5 de Febrero de 2025,col_172_Ene-25 (pr*),col_173_Ene-25 (definitivos) Disponibles desde el 5 de Marzo de 2025,col_174_Feb-25 (pr*),col_175_Feb-25 (definitivos) Disponibles desde el 4 de Abril de 2025,col_176_Mar-25 (pr*),col_177_Mar-25 (definitivos) Disponibles desde el 6 de Mayo de 2025,col_178_Abr-25 (pr*),col_179_Abr-25 (definitivos) Disponibles desde el 5 de Junio de 2025,col_180_May-25 (pr*),col_181_May-25 (definitivos) Disponibles desde el 4 de Julio de 2025,col_182_Jun-25 (pr*),col_183_Jun-25 (definitivos) Disponibles desde el 5 de Agosto de 2025,col_184_Jul-25 (pr*),col_185_Jul-25 (definitivos) Disponibles desde el 4 de Septiembre de 2025,col_186_Ago-25 (pr*),col_187_Ago-25 (definitivos) Disponibles desde el 6 de Octubre de 2025,col_188_Sep-25 (pr*),col_189_Sep-25 (definitivos) Disponibles desde el 5 de Noviembre de 2025,col_190_Oct-25 (pr*),col_191_Oct-25 (definitivos) Disponibles desde el 4 de Diciembre de 2025,col_192_Nov-25 (pr*),col_193_Nov-25 (definitivos) Disponibles desde el 8 de Enero de 2026,col_194_Dic-25 (pr*),col_195_Dic-25 (definitivos) Disponibles desde el 5 de Febrero de 2026,col_196_Ene-26 (pr*),col_197_Ene-26 (definitivos) Disponibles desde el 5 de Marzo de 2026,col_198_Feb-26 (pr*),col_199_Feb-26 (definitivos) Disponibles desde el 9 de Abril de 2026,col_200_Mar-26 (pr*),col_201_Mar-26 (definitivos) Disponibles desde el 7 de Mayo de 2026,col_202_Abr-26 (pr*),col_203_Abr-26 (definitivos) Disponibles desde el 4 de Junio de 2026,col_204_May-26 (pr*),col_205_May-26 (definitivos) Disponibles desde el 6 de Julio de 2026,col_206_Jun-26 (pr*),col_207_Jun-26 (definitivos) Disponibles desde el 6 de Agosto de 2026,col_208_Jul-26 (pr*),col_209_Jul-26 (definitivos) Disponibles desde el 4 de Septiembre de 2026,col_210_Ago-26 (pr*)
TOTAL,T,TOTAL,100,98.72,96.77,100.44,99.08,99.05,101.07,102.33,104.39,104.38,103.37,103.89,105.48,105.32,105.74,106.19,105.76,107.12,108.1,108.38,107.15,106.9,107.19,109.24,107.76,108.12,107.48,107.31,106.87,106.39,105.86,107.1,107.7,108.17,109.04,110.76,111.29,111.5,111.35,111.14,111.41,113.86,113.72,113.45,113.26,115.97,117.52,115.67,113.86,114.53,115.6,116.37,118.03,119.91,117.99,118.68,118.91,120.35,120.34,120.31,120.79,119.91,118.69,116.16,112.33,113.73,115.73,117.49,119.31,118.78,119.52,119.54,119.74,122.77,123.03,126.28,126.19,129.39,129.23,130.67,130.88,135.08,135.01,136.52,136.76,138.81,139.03,140.31,140.32,142.14,142.14,145.75,146.17,149.85,150.39,151.6,151.53,157.77,159.25,164.39,165.4,171.67,172.86,177.54,175.83,181.33,181.71,180.64,180.03,184.71,184.9,182.44,181.19,182.43,180.9,183.47,184.68,187.63,187.27,184.58,184.57,185.98,185.05,187.18,187.15,185.58,185.11,182.62,182.27,179.11,178.28,173.46,174.08,172.79,173.02,175.71,176.26,178.32,179.13,180.55,180.13,176.69,176.45,173.89,173.88,174.83,174.91,177.08,176.77,176.98,177.57,179.57,179.17,177.25,177.83,180.13,180.15,180.43,180.55,178.52,178.54,180.39,179.93,182.46,181.96,184.92,184.92,186.62,186.42,188.33,188.03,187.15,187.34,186.24,186.22,186.49,186.51,184.36,184.42,183.91,184.07,184.53,184.62,185.39,185.51,186.46,186.53,185.24,185.03,182.24,182.23,181.51,181.57,184.3,184.35,186.77,186.73,194.09,195.6,194.87,195.45,196.95,197.02,190.15,190.1,187.41,187.55,186.93
SECCIÓN,A,"Agricultura, ganadería, caza, silvicultura y pesca",100,101.12,103.1,105.64,103.68,101.82,101.87,102.54,105.13,107.41,110.14,111.9,115.55,119.39,121.56,121.18,122.56,125.29,126.85,127.6,118.43,116.91,116.59,116.96,116.76,118.57,117.65,118.39,118.11,117.45,117.11,116.98,117.03,115.35,116.19,117.34,117.77,118.56,118.78,119.91,118.52,117.68,117.57,116.58,116.95,118.98,120.65,121.39,123.2,125.42,123.95,125.89,127.72,129.13,130.99,131.46,132.04,134.41,135.51,132.62,131.15,130.91,133,141.37,143.54,142.42,138.23,137.65,138.44,141.08,142.1,142.54,143.33,147.45,147.45,150.38,150.38,156.2,156.22,160.21,160.21,171.03,171.03,165.66,165.66,167.58,167.58,169.82,169.82,171.45,171.45,174.44,174.44,180.16,182.91,191.57,191.57,210.24,210.24,225.18,225.18,227.22,227.22,231.83,231.83,225.95,225.95,228.39,228.39,230.21,230.21,233.97,233.97,239.1,239.1,243.73,243.73,246.77,246.77,255.67,255.67,263.61,263.61,271.32,271.32,269.8,269.8,258.08,258.08,248.08,248.08,241.13,241.13,236.61,236.61,244.39,244.39,251.15,251.15,253.89,253.89,252.05,252.05,252.59,252.59,255.62,255.62,262.06,262.06,263.23,263.23,266.7,266.7,267.14,267.14,271.04,271.04,271.51,271.51,262.19,262.19,270.82,270.82,275.56,275.56,286.32,286.32,294.45,294.45,296.52,296.52,303.61,303.61,303.62,303.62,297.35,297.35,288.44,288.44,281.15,281.15,291.47,291.47,296.67,296.67,310.13,310.13,308.55,308.55,294.71,294.71,289.48,289.48,305.13,305.13,312.77,312.77,315.93,315.93,307.72,307.73,297.76,297.76,304.94,304.94,316.8,316.8,316.84
,B,Explotación de minas y canteras,100,90.42,77.44,90.78,86.52,88.33,96.38,98.6,101,96.92,90.55,90.25,90.69,83.66,80.22,84.83,83.05,86.8,89.07,89.09,88.55,88.41,90.57,96.69,91.1,90.66,88.15,85.84,85.88,83.38,81.03,86.04,88.89,91.48,94.73,101.85,103.71,105.27,102.3,100.72,103.9,113.72,112.22,111.86,110.08,120.01,124.92,111.86,102.15,103.59,109.06,111.3,116.53,121.19,111.34,109.33,105.46,109.38,106.61,108.78,112.07,106.21,96.8,73.88,56.02,64.86,79,87.24,91.15,86.8,88.15,89.71,92.15,99.84,101.25,111.4,110.39,117.37,116.51,116.26,117.49,124.27,123.64,129.89,131.04,135.54,136.66,136.62,136.65,141.9,141.31,153.88,155.05,162.16,162.62,156.98,156.84,166.28,172,181.12,186.29,210.53,215.25,225.84,216.75,236.73,238.87,233.51,231.03,238.44,239.63,227.31,221.23,219.04,212.25,212.99,219.94,224.15,220.86,202.82,203.69,195.5,190.3,189.45,189.4,180.54,178.2,176.49,173.71,163.53,160.13,147.63,149.73,149.83,151.26,155.84,158.53,163.7,167.78,170.89,168.93,153.77,152.13,142.27,142.35,140.33,140.94,144.37,142.8,143.55,146.32,153.61,150.24,140.04,142.99,148.53,148.64,148.94,149.36,144.13,145.02,142.63,140.63,147.7,145.12,147.74,148.03,147.31,146.36,151.64,149.4,140.72,141.58,135.71,136.03,132.86,133.73,128.8,129.55,134.61,135.17,134.01,133.98,134.23,134.34,130.46,130.06,123.76,122.13,118.67,119.15,117.21,117,117.64,116.59,120.99,119.87,150.76,157.36,155.94,157.39,166.12,168.08,137.8,139.84,127.59,126.92,125.49
,C,Industrias manufactureras,100,100.53,100.83,102.06,101.62,101.45,102.21,103.32,105.17,105.84,105.55,106.05,107.54,108.47,109.61,109.08,108.65,109.07,109.57,109.83,110.02,109.99,109.88,111.15,110.56,110.84,110.78,111.02,110.41,110.52,110.46,110.93,111.02,111.34,111.55,111.9,112.07,111.79,112.35,112.25,112.05,113.13,113.36,113.25,113.39,114.25,114.84,115.57,115.22,115.36,115.72,115.85,116.49,117.7,117.2,118.69,119.98,120.55,121.07,121.01,121.11,121.47,121.86,122.77,121.6,121.46,121.34,121.79,123.23,123.12,123.63,123.15,122.61,124.12,124.12,125.54,125.68,127.3,127.29,128.69,128.66,130.81,130.87,132.46,132.5,133.9,133.92,135.37,135.37,136.28,136.45,137.71,138,140.31,140.43,142.03,141.96,144.81,145.41,147.48,147.54,149.69,150.14,153.2,153.19,156.99,156.95,156.36,156.14,160.64,160.6,159.6,159.45,160.85,160.46,163.13,162.99,165.57,165.95,165.16,164.91,167.65,167.72,169.55,169.51,169.96,169.9,169.06,169.32,169.48,169.2,166.92,167.27,166.25,166.2,167.33,167.4,167.65,167.72,168.4,168.32,167.8,167.9,166.73,166.7,168.05,167.99,168.95,168.94,168.8,168.91,169.14,169.49,169.38,169.42,170.51,170.49,170.73,170.8,171.12,170.91,172.57,172.43,173.27,173.24,174.72,174.63,175.71,175.68,176.61,176.79,176.47,176.5,176.51,176.39,178.92,178.71,178.7,178.59,177.9,177.99,176.9,177.03,177.05,177.21,176.96,177.18,177.34,177.47,177.1,176.95,177.48,177.63,178.33,178.68,179.51,179.76,181.45,181.87,182.84,183.3,185.11,184.67,181.43,180.8,177.81,178.2,177.68
DIVISIÓN_CIIU,01,"Agricultura, ganadería, caza y actividades de servicios conexas",100,101.16,103.17,105.79,103.76,101.84,101.9,102.58,105.24,107.6,110.43,112.24,116.01,119.96,122.18,121.75,123.18,125.92,127.53,128.31,118.84,117.3,116.97,117.35,117.15,119,118.06,118.7,118.38,117.71,117.35,117.21,117.27,115.57,116.46,117.67,118.12,118.9,119.09,120.24,118.8,117.92,117.82,116.77,117.16,119.25,120.99,121.76,123.65,125.92,124.37,126.35,128.21,129.7,131.62,132.1,132.7,135.16,136.31,133.32,131.81,131.54,133.69,142.34,144.56,143.41,139.07,138.63,139.44,142.13,143.16,143.59,144.4,148.65,148.65,151.54,151.54,157.54,157.55,161.65,161.65,172.94,172.94,167.39,167.39,169.38,169.38,171.67,171.67,173.35,173.35,176.45,176.45,182.29,185.15,194.1,194.1,213.34,213.34,228.65,228.65,230.73,230.73,235.4,235.4,229.33,229.33,231.81,231.81,233.69,233.69,237.55,237.55,242.85,242.85,247.78,247.78,250.88,250.88,259.93,259.93,267.96,267.96,275.72,275.72,274.13,274.13,261.96,261.96,251.64,251.64,244.45,244.45,239.78,239.78,247.82,247.82,254.8,254.8,257.53,257.53,255.6,255.6,256.17,256.17,259.31,259.31,265.85,265.85,266.98,266.98,270.55,270.55,271,271,275.03,275.03,275.48,275.48,265.83,265.83,274.76,274.76,279.7,279.7,290.84,290.84,299.26,299.26,301.38,301.38,309.02,309.02,308.84,308.84,302.1,302.1,292.91,292.91,285.4,285.4,296.04,296.04,301.43,301.43,315.35,315.35,313.71,313.71,299.42,299.42,294.04,294.04,310.05,310.05,317.92,317.92,321.17,321.17,312.63,312.63,302.32,302.32,309.85,309.85,322.12,322.12,322.12
,02,Silvicultura y extracción de madera,100,100.06,99.99,100.33,100.31,100.22,100.06,100.33,100.14,99.97,99.98,99.81,99.66,100.06,100.08,99.99,99.97,103.42,103.34,103.49,103.71,103.55,104.13,103.94,103.94,103.82,103.76,108.84,109.47,109.4,108.99,109.12,109.2,108.75,108.7,108.7,108.7,108.7,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,109.72,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,104.88,104.88,106.36,106.36,107.86,107.86,107.86,107.86,113.2,113.2,113.2,113.2,113.2,113.2,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,112.21,112.21,112.21,112.21,113.92,113.92,119.72,119.72,119.72,119.72,119.72,119.72,119.72,119.72,120.75,120.75,120.75,120.75,120.75,120.75,120.75,120.75,115.17,115.17,117.86,117.86,124.67,124.67,130.82,130.82,139.03,139.03,139.03,139.03,139.03,139.03,139.03,139.03,139.03,139.03,139.03,139.03,139.03,139.03,139.03,139.03,142.84,142.84,142.84,142.84,142.84,142.84,142.84,142.84,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,135.41,135.41,142.02,142.02,148.96,148.96,148.96,148.96,148.96,148.96,150.46,150.46,150.46,150.46,150.46,150.46,150.46,150.46,150.46,150.46,150.46,150.46,155.81,155.81,155.81,155.81,155.81,155.81,155.81,155.81,157.24,157.24,153.89,153.89,153.89,153.89,156.86
,03,Pesca y acuicultura,100,100.11,103.36,104.22,104.47,104.24,104.7,105.29,107.53,108.41,108.33,108.96,111.27,111.58,114.43,119.71,119.41,118.52,118.86,118.71,116.68,112.77,110.84,110.44,110.65,112.53,112.83,110.59,113.31,112.08,113.68,113.87,113.46,108.94,106.96,105.25,104.74,109.13,109.8,112.08,113.38,113.7,111.77,114.76,114.77,115.11,115.12,114,111.65,114.14,112.92,115.81,120.08,117.05,116.91,117.89,117.49,116.62,115.35,114.71,114.06,116.76,117.55,119.6,121.69,120.5,122.2,123.21,123.86,125.08,126.38,126.3,126.32,127.83,127.83,127.77,127.77,130.59,130.65,135.09,135.09,134.92,134.92,134.52,134.52,134.39,134.39,137.21,137.21,137.71,137.71,137.56,137.56,138.42,136.51,137.16,137.16,140.41,140.41,139.77,139.77,144.4,144.4,155.29,155.29,153.89,153.89,155.54,155.54,156.61,156.61,159.38,159.38,160.93,160.93,161.8,161.8,158.06,158.06,156.19,156.19,158.3,158.3,158.2,158.2,160.58,160.58,166.71,166.71,162.01,162.01,162.26,162.26,162.38,162.38,163.53,163.53,164.13,164.13,166.03,166.03,167.86,167.86,167.67,167.67,167.46,167.46,169.29,169.29,178.31,178.31,179.52,179.52,180.24,180.24,182.08,182.08,186.57,186.57,186.99,186.99,187.3,187.3,182.72,182.72,181.73,181.73,179.49,179.49,182.81,182.81,182.16,182.16,185.21,185.21,194.13,194.13,189.06,189.06,186.42,186.42,185.41,185.41,185.07,185.07,184.47,184.47,184.64,184.64,182.53,182.53,178.62,178.62,183.33,183.33,186.85,186.85,190.19,190.19,196.13,196.13,191.94,191.94,190.2,190.2,190.05,190.05,185.77
,05,Extracción de carbón de piedra y lignito,100,102.16,98.1,107.48,100.21,99.88,103.81,104.12,114.97,118.18,105.65,108.91,119.17,127.12,127.07,130.68,113.76,118.62,112.05,106.6,116.43,115.92,116.43,126.56,127.57,126.35,116.66,112.64,111.98,106.76,111.87,117.32,117.28,114.06,119.92,117.75,121.64,121.16,126.3,116.12,113.2,119.16,121.64,122.54,117.93,120.63,120.36,125.43,122.22,126.62,128.58,126.95,116.97,116.97,113.51,108.3,95.94,92.58,96.47,91.3,87.79,82.06,78.79,89.5,87.84,80.16,76.39,89.26,89.48,95.68,97,97.78,90.36,92.48,94.18,96.58,94.43,98.57,97.37,96.66,99.11,104.09,105.17,112.01,110.97,112.17,114.17,131.58,132.03,138.89,141.96,152.48,160.32,191.08,193.91,199,201.09,178.32,204.43,209.16,217.51,236.58,249.8,345.53,300.7,320.34,322.13,281.01,277.8,304.65,306.58,296.52,294.83,316.75,297.12,245.71,276.51,273.04,266.91,274.91,281.19,240.44,231.29,220.44,222.92,208.62,194.6,187.01,183.41,181,171.65,152.5,154.42,149.68,149.64,144.21,147.18,140.52,142.93,149.55,146.06,140.98,143.89,135.06,140.99,127.91,132.29,133.47,126.14,117.86,121.1,132.13,121.81,112.1,116.82,120.62,121.41,115.34,118.8,121.25,123.24,129.15,126.6,127.67,129.2,134.44,134.56,135.81,128.42,126.45,119.33,113.73,115.21,111.35,112.24,114.99,115.05,111.5,118.08,115.56,113.63,114.6,115.2,117.45,120.42,115.77,115.68,114.53,112.84,108.22,113.57,114.63,113.73,115.76,116.03,113.66,114.82,121.82,122.61,119.93,121.77,126.75,127.31,123.95,122.46,116.45,113.2,109.72
,06,Extracción de petróleo crudo y gas natural,100,86.21,69.58,85.22,81.36,83.93,93.8,96.72,96.41,88.74,84.16,83.15,80.66,68.02,63.01,67.44,70.02,74.29,79.84,81.49,77.56,77.22,79.9,85.2,77.26,77.02,76.46,74.23,74.31,72.44,67.8,72.85,76.58,80.95,83.98,94.07,95.51,97.91,92.33,92.91,98.37,110.33,107.51,107.01,106.12,118.73,125.51,106.1,93.74,94.41,101.33,104.88,115,121.39,108.93,107.72,106.09,112.45,107.51,112,117.56,111.23,99.31,64.72,40.74,55.13,75.63,83.08,88.38,80.57,82.03,83.94,89.48,99.4,100.83,114.01,113.27,121.6,120.78,120.64,121.6,129.41,128.23,134.75,136.64,142.45,143.39,138.17,138.07,143.24,141.51,155.61,154.89,155.5,155.3,146.05,145.24,164.93,165.01,176.12,180.71,208.27,210.81,196.91,197.75,219.31,221.71,226.58,224.13,226.3,227.37,213.46,205.64,196.13,192.66,208.93,209.3,216.1,213.4,186.31,185.64,186.51,182.11,184.16,183.36,175.46,176.42,176.33,173.6,160.36,158.48,147.05,149.35,150.9,152.87,160.76,163.56,172.63,177.5,179.8,178.14,158.88,155.77,144.88,143.23,144.34,143.89,148.23,148.25,151.74,154.58,161.29,159.73,148.63,151.28,157.73,157.64,159.86,159.41,151.53,152.15,147.12,145.14,154.49,150.51,152.54,152.9,151.55,152.44,160.26,159.31,149.07,149.82,142.91,143.09,137.93,139.1,133.4,132.47,140.15,141.5,139.61,139.4,139.08,138.35,134.41,133.89,125.59,123.87,120.5,119.57,116.59,116.56,116.84,115.32,122.06,120.17,160.42,169.24,168.08,169.52,180.01,182.52,142.03,145.27,130.27,130.32,129.39
,07,Extracción de minerales metalíferos,100,100.23,101.01,98.93,101.5,101.48,101.48,101.88,106.98,122.34,116.52,111.49,112,120.75,125.08,136.17,136.15,128.47,121.8,121.81,125.34,129.48,131.31,132.29,132.14,132.12,132.12,135.56,137.86,137.86,136.48,139.13,141.75,143.45,139.26,143.49,142.95,141.17,141.05,144.93,141.6,137.91,138.31,134.73,132.41,135.02,135.45,135.46,135.46,135.44,135.45,135.47,135.46,135.47,135.45,135.45,135.47,135.46,135.47,135.48,135.49,135.48,135.47,135.52,135.5,135.5,135.51,135.56,135.59,135.61,135.62,135.62,135.63,135.65,135.65,135.68,135.68,135.76,135.76,135.77,135.77,135.86,135.86,135.86,135.86,135.9,135.9,135.91,135.91,135.89,135.89,135.91,135.91,135.93,135.93,135.93,135.93,135.97,135.97,135.96,135.96,135.96,135.96,135.96,135.96,135.93,135.93,135.89,135.89,135.92,135.92,135.9,135.9,135.9,135.9,135.95,135.95,136.06,136.06,136.06,136.06,136.11,136.11,136.13,136.13,136.11,136.11,136.05,136.05,135.99,135.99,135.92,135.92,135.89,135.89,135.88,135.88,135.87,135.87,135.88,135.88,135.86,135.86,135.86,135.86,135.85,135.85,135.85,135.85,135.88,135.88,135.93,135.93,136.02,136.02,136.03,136.03,136,136,135.94,135.94,136,136,136.07,136.07,136.07,136.07,136.05,136.05,136.05,136.05,136.06,136.06,136.12,136.12,136.12,136.12,136.11,136.11,136.12,136.12,136.23,136.23,136.02,136.02,136.01,136.01,136.08,136.08,136.06,136.06,136.13,136.13,136.15,136.15,136.18,136.18,136.18,136.18,136.16,136.16,136.28,136.28,136.22,136.22,136.11,136.11,136.11
