producto,categoria,mercado,precio_kg,variacion_pct
Chócolo mazorca,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",4267.0,-0.03
Chócolo mazorca,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",1400.0,0.03
Chócolo mazorca,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",1938.0,0.24
Chócolo mazorca,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",3600.0,-0.06
Chócolo mazorca,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",2120.0,0.0
Chócolo mazorca,Verduras y hortalizas,oSoaonotoao oMoaorotoao,2100.0,0.0
Chócolo mazorca,Verduras y hortalizas,oTouonojoao,2650.0,0.0
Fríjol verde,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",5200.0,0.0
Fríjol verde,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",5833.0,-0.07
Fríjol verde,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",7100.0,0.03
Fríjol verde,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",6883.0,-0.03
Fríjol verde,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",5733.0,-0.1
Fríjol verde,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",9000.0,0.06
Fríjol verde,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",5200.0,-0.05
Fríjol verde,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",6400.0,-0.04
Fríjol verde,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",5650.0,0.01
Fríjol verde,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",7000.0,0.0
Fríjol verde,Verduras y hortalizas,oTouonojoao,5600.0,0.0
Habichuela,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",4160.0,0.0
Habichuela,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",6417.0,-0.11
Habichuela,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",7500.0,0.02
Habichuela,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",6600.0,0.13
Habichuela,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",7292.0,-0.03
Habichuela,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",5600.0,-0.22
Habichuela,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",4800.0,-0.25
Habichuela,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",3875.0,-0.13
Habichuela,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",7200.0,-0.08
Habichuela,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",8083.0,0.0
Habichuela,Verduras y hortalizas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",5867.0,-0.25
Habichuela,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",5200.0,-0.07
Habichuela,Verduras y hortalizas,oTouonojoao,6400.0,-0.16
Lechuga Batavia,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",1689.0,0.0
Lechuga Batavia,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",2188.0,0.17
Lechuga Batavia,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",1729.0,0.0
Lechuga Batavia,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",1442.0,0.01
Lechuga Batavia,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",1861.0,0.0
Lechuga Batavia,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",2133.0,-0.04
