codigo_estacion,nombre_estacion,departamento,municipio,latitud,longitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,anual,indicador
25021390,Caucasia,ANTIOQUIA,CAUCASIA,8.0,-75.2,36.4,31.5,59.9,199.1,254.5,321.3,331.2,380.7,328.7,287.3,192.3,71.1,2494.2,Precipitacion_Normal_mm
27040030,La Esmeralda,ANTIOQUIA,CAUCASIA,7.75,-74.85,72.4,100.8,115.9,309.6,487.9,433.5,452.9,541.0,539.5,520.8,384.5,221.5,4180.2,Precipitacion_Normal_mm
26240060,Manizales,ANTIOQUIA,CAUCASIA,7.75,-74.86,45.2,47.6,61.7,203.4,356.1,370.5,307.4,357.1,321.4,329.1,227.6,101.3,2728.4,Precipitacion_Normal_mm
12015090,La Palmera,ANTIOQUIA,CHIGORODÓ,7.54,-76.61,72.4,61.3,90.0,272.0,468.4,485.8,420.2,491.5,500.1,557.7,434.4,267.1,4120.9,Precipitacion_Normal_mm
23080520,Cocorna,ANTIOQUIA,COCORNÁ,6.07,-75.18,252.9,260.4,388.3,551.7,560.8,374.1,308.4,437.2,508.8,581.3,494.2,372.3,5090.3,Precipitacion_Normal_mm
23080360,Concepción,ANTIOQUIA,CONCEPCIÓN,6.4,-75.27,104.2,127.2,178.2,285.4,373.5,297.7,298.7,344.5,336.5,345.2,258.9,138.1,3087.9,Precipitacion_Normal_mm
26210080,La Herradura,ANTIOQUIA,CONCORDIA,6.1,-75.87,60.6,50.8,97.6,176.2,222.1,202.6,157.6,228.8,234.9,269.8,177.9,84.7,1963.6,Precipitacion_Normal_mm
27010650,Don Matías,ANTIOQUIA,DON MATÍAS,6.48,-75.4,62.1,81.4,120.9,235.1,297.9,243.4,227.4,254.7,278.7,311.4,203.6,105.5,2422.0,Precipitacion_Normal_mm
27010400,Riogrande Almacén,ANTIOQUIA,DON MATÍAS,6.55,-75.4,83.1,91.4,149.7,247.6,376.9,355.6,367.0,397.4,381.8,319.5,207.9,104.5,3082.4,Precipitacion_Normal_mm
27010440,Riogrande Mocorong,ANTIOQUIA,DON MATÍAS,6.55,-75.37,100.0,109.5,172.6,315.4,463.2,371.0,343.4,388.4,416.1,366.7,247.5,141.7,3435.3,Precipitacion_Normal_mm
27010750,Entrerrios,ANTIOQUIA,ENTRERRIOS,6.57,-75.48,47.3,71.7,94.1,164.7,198.8,188.7,174.3,192.7,187.6,217.7,162.2,81.0,1780.6,Precipitacion_Normal_mm
27010830,San Isidro,ANTIOQUIA,ENTRERRIOS,6.56,-75.52,66.0,101.1,139.4,181.3,228.5,239.0,205.4,214.3,252.0,357.3,179.9,91.6,2255.7,Precipitacion_Normal_mm
11110010,Normal Santa Teresa,ANTIOQUIA,FRONTINO,6.76,-76.13,69.3,92.8,130.6,248.4,353.2,277.5,225.6,301.7,299.1,377.9,284.5,125.6,2786.2,Precipitacion_Normal_mm
26220090,Giraldo,ANTIOQUIA,GIRALDO,6.69,-75.96,54.8,55.8,106.1,211.0,265.2,183.7,161.1,192.1,213.9,238.2,148.8,72.2,1902.7,Precipitacion_Normal_mm
27010530,Alto San Andrés,ANTIOQUIA,GIRARDOTA,6.43,-75.45,47.5,62.7,101.8,173.3,241.9,208.9,188.1,222.9,225.7,244.2,157.6,86.3,1960.9,Precipitacion_Normal_mm
27010560,Girardota,ANTIOQUIA,GIRARDOTA,6.38,-75.45,43.5,60.4,92.3,167.2,215.6,165.7,126.2,182.6,191.1,215.8,144.9,61.5,1666.9,Precipitacion_Normal_mm
27010820,La Cuchilla,ANTIOQUIA,GIRARDOTA,6.37,-75.45,47.2,74.5,104.5,193.6,231.6,151.7,140.6,202.6,238.4,266.5,171.1,84.2,1906.2,Precipitacion_Normal_mm
27010600,Gómez Plata,ANTIOQUIA,GÓMEZ PLATA,6.7,-75.23,99.3,123.5,170.1,356.5,464.4,336.5,301.0,363.2,393.6,407.8,253.4,145.9,3415.2,Precipitacion_Normal_mm
27010900,Gómez Plata,ANTIOQUIA,GÓMEZ PLATA,6.68,-75.22,102.3,123.1,146.5,326.7,448.8,307.8,261.3,348.4,372.6,412.4,240.9,131.2,3221.8,Precipitacion_Normal_mm
27010320,Guadalupe Botacoma,ANTIOQUIA,GÓMEZ PLATA,6.78,-75.23,74.8,88.5,130.9,328.1,427.0,383.3,310.8,360.8,398.0,391.3,254.0,125.6,3273.2,Precipitacion_Normal_mm
23080540,Granada,ANTIOQUIA,GRANADA,6.15,-75.18,124.7,141.5,200.7,322.0,386.0,311.0,255.8,406.1,398.9,387.1,254.3,171.9,3360.0,Precipitacion_Normal_mm
23080260,La Mosca,ANTIOQUIA,GUARNE,6.32,-75.47,49.8,68.8,105.4,222.0,241.2,164.5,139.0,172.9,202.5,264.8,201.8,92.8,1925.4,Precipitacion_Normal_mm
23080220,La Severa,ANTIOQUIA,GUARNE,6.27,-75.45,49.2,76.9,104.4,197.3,218.3,143.7,132.7,163.7,178.1,254.6,188.9,101.6,1809.6,Precipitacion_Normal_mm
23080370,Guatapé,ANTIOQUIA,GUATAPÉ,6.23,-75.17,151.4,172.1,292.1,383.0,394.5,282.5,294.3,392.2,412.6,388.7,327.7,217.9,3708.9,Precipitacion_Normal_mm
27010770,El Chuscal,ANTIOQUIA,HELICONIA,6.18,-75.71,151.3,151.8,242.9,378.4,395.9,263.2,203.1,292.4,381.3,414.8,309.9,174.4,3359.2,Precipitacion_Normal_mm
26195010,Miguel Valencia,ANTIOQUIA,JARDÍN,5.53,-75.85,82.3,105.3,151.2,230.3,227.9,187.3,172.3,185.4,217.1,235.3,177.2,116.8,2088.3,Precipitacion_Normal_mm
26170190,El Dique,ANTIOQUIA,JERICÓ,5.8,-75.72,73.6,66.0,117.2,206.5,265.7,194.1,155.0,205.8,256.9,322.4,234.1,114.6,2211.8,Precipitacion_Normal_mm
26180100,La Unión,ANTIOQUIA,LA UNIÓN,5.98,-75.37,79.4,106.5,141.0,239.9,276.7,243.4,210.9,276.5,281.4,283.0,212.5,88.7,2439.8,Precipitacion_Normal_mm
26180170,La Unión,ANTIOQUIA,LA UNIÓN,6.0,-75.38,90.7,123.2,108.9,229.1,273.2,217.3,199.6,252.1,268.8,281.2,196.5,113.6,2354.1,Precipitacion_Normal_mm
26180080,Mesopotamia,ANTIOQUIA,LA UNIÓN,5.8,-75.32,140.0,174.3,235.3,259.1,347.1,333.7,306.9,375.1,345.4,276.1,218.1,153.6,3164.7,Precipitacion_Normal_mm
26230140,La Placita,ANTIOQUIA,LIBORINA,6.72,-75.76,55.3,60.9,89.4,213.9,261.7,186.1,153.3,166.5,202.4,278.6,189.5,98.7,1956.0,Precipitacion_Normal_mm
23080640,Marinilla,ANTIOQUIA,MARINILLA,6.16,-75.32,56.7,89.8,99.4,233.2,241.4,179.3,167.8,217.4,237.3,278.0,175.7,88.4,2064.3,Precipitacion_Normal_mm
27015330,Aeropuerto Olaya Herrera   AUT,ANTIOQUIA,MEDELLÍN,6.22,-75.59,55.3,76.4,119.2,175.9,192.0,154.4,109.5,154.1,182.8,217.8,148.6,78.4,1664.4,Precipitacion_Normal_mm
27010380,An Antonio de Pra,ANTIOQUIA,MEDELLÍN,6.18,-75.67,84.3,97.1,162.9,229.4,257.2,166.9,127.5,172.0,206.8,264.4,207.8,131.5,2107.7,Precipitacion_Normal_mm
27010620,Boquerón,ANTIOQUIA,MEDELLÍN,6.33,-75.67,78.4,104.9,139.9,255.2,253.0,175.0,143.8,196.2,252.5,300.3,246.5,123.1,2268.7,Precipitacion_Normal_mm
27010780,Boquerón,ANTIOQUIA,MEDELLÍN,6.35,-75.68,104.5,113.7,155.2,278.2,279.5,207.2,155.0,228.9,317.9,345.6,256.0,159.2,2601.1,Precipitacion_Normal_mm
27010350,Chirrillos,ANTIOQUIA,MEDELLÍN,6.3,-75.5,46.3,70.4,103.6,205.3,231.7,141.4,121.9,155.6,188.8,231.0,179.0,89.0,1763.9,Precipitacion_Normal_mm
27010340,Mazo,ANTIOQUIA,MEDELLÍN,6.27,-75.52,57.3,76.5,117.9,205.5,230.0,144.9,122.1,149.2,187.7,243.7,193.9,100.3,1828.9,Precipitacion_Normal_mm
27010470,Miguel AG Medellín,ANTIOQUIA,MEDELLÍN,6.25,-75.57,39.2,61.3,77.2,151.0,169.8,122.1,96.6,132.5,160.7,185.5,134.9,71.9,1402.8,Precipitacion_Normal_mm
27010460,San Cristobal,ANTIOQUIA,MEDELLÍN,6.28,-75.63,55.2,76.6,112.9,190.1,207.1,138.6,124.4,152.2,173.2,222.4,155.0,99.8,1707.7,Precipitacion_Normal_mm
27010810,Santa Helena,ANTIOQUIA,MEDELLÍN,6.2,-75.52,107.4,111.3,145.5,266.3,297.2,196.6,157.6,221.7,241.4,345.0,251.3,151.8,2493.2,Precipitacion_Normal_mm
27010450,Villahermosa Plant,ANTIOQUIA,MEDELLÍN,6.27,-75.55,41.5,62.4,93.9,177.2,185.7,129.2,105.8,139.0,173.1,213.8,159.5,90.8,1571.9,Precipitacion_Normal_mm
26180200,Montebello,ANTIOQUIA,MONTEBELLO,5.95,-75.54,128.8,113.9,172.5,220.5,259.3,187.5,154.2,194.3,289.3,386.7,290.3,170.3,2567.5,Precipitacion_Normal_mm
25020540,Patio Bonito,ANTIOQUIA,NECHÍ,8.03,-74.71,89.7,109.6,125.5,456.3,535.1,414.2,515.9,518.1,571.9,662.9,634.8,232.2,4866.2,Precipitacion_Normal_mm
26220050,La Cumbre,ANTIOQUIA,PEQUE,7.03,-75.93,80.4,124.0,133.4,325.7,339.9,225.8,227.5,220.3,294.9,337.0,255.5,136.7,2701.1,Precipitacion_Normal_mm
26170150,Pueblorrico,ANTIOQUIA,PUEBLORRICO,5.79,-75.84,121.4,103.4,181.5,289.3,377.7,323.1,236.8,263.9,324.9,362.0,274.9,154.1,3013.1,Precipitacion_Normal_mm
23090050,La Nare Sierra,ANTIOQUIA,PUERTO BERRÍO,6.22,-74.58,57.9,73.7,152.9,248.6,307.6,230.0,172.1,207.3,301.0,310.0,207.3,88.3,2356.8,Precipitacion_Normal_mm
23080620,La Arabia,ANTIOQUIA,PUERTO NARE,6.17,-74.75,87.3,100.2,180.1,268.0,318.5,227.9,216.4,262.7,331.8,367.0,258.6,109.4,2727.9,Precipitacion_Normal_mm
