estacion,departamento,municipio,latitud,longitud,altitud,tipo_de_estacion,promedio_anual,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
Aeropuerto Vásquez Cobo,Amazonas,Leticia,-4.19,-69.94,84,Automática,4226.4,4155.5,3926,4092.8,4060.2,3743.5,3817.5,4244,4597.1,4829.2,4555.1,4500.2,4195.5
Puerto Nariño,Amazonas,Puerto Nariño,-3.78,-70.36,158,Automática,3840.2,3872.3,3683.4,3929.5,3730.2,3417,3262.5,3825.9,4089.3,4414.1,4074.7,4003.7,3780.2
Pista Indira,Antioquía,Apartadó,7.94,-76.7,15,Automática,4166.4,4225.3,4791.7,4154.1,4120.6,4092.7,3820.2,4131.5,4319.9,4134.3,4366.1,4009.6,3830.3
Chigorodó,Antioquía,Chigorodó,7.67,-76.69,44,Automática,4346.4,4631.4,5436.4,4611.7,4299.6,4131.8,3726.7,3932.7,4253.6,4263.8,4525.7,3929.5,4414.2
Maceo,Antioquía,Maceo,6.57,-74.79,980,Automática,4681.9,4444.3,4571.4,4380.3,4404.3,4540.2,5084.4,5296.9,5395.9,5426.1,4520.4,3974.4,4144.6
Aeropuerto Olaya Herrera,Antioquía,Medellín,6.22,-75.59,1506,Convencional,4308.5,4382.6,4091.3,4295.7,4165.2,4050.5,4321.6,4668.1,4605.7,4595.1,4419,3958.3,4149.4
Aeropuerto Olaya Herrera,Antioquía,Medellín,6.22,-75.59,1506,Automática,4374.1,4472.8,4532.5,4228,4110.5,4300.2,4571.7,4856,4882,4371.3,4215.3,3919,4030.4
Metromedellin,Antioquía,Medellín,6.33,-75.55,1440,Automática,4505.8,4391.2,4738.2,4318.7,4331.6,4300.3,4802.5,4986.4,4862,4861.2,4155,4071.5,4251.5
Aeropuerto Jose María Córdoba,Antioquía,Rionegro,6.17,-75.43,2073,Automática,5039.6,4454.2,4839.2,4405.7,4540.4,5151.5,5936.7,6357.6,6211.8,5637.1,4562,3916,4463.2
La Selva,Antioquía,Rionegro,6.13,-75.41,2125,Automática,4560.4,4183.1,4279.8,4092.2,4242.2,4731,5214.7,5393.6,5153.6,4796.8,4377,3953.9,4306.9
Santa Bárbara,Antioquía,Santa Barbara,5.86,-75.56,1680,Automática,4869.6,5152.8,5103.3,4904.1,4528.5,4528.4,5027.6,5423.4,5056.9,5073.2,4699,4468.2,4469.7
Aragón,Antioquía,Santa Rosa de Osos,6.78,-75.56,2652,Automática,4175.6,4210.2,4253.7,3794.7,3731.6,3897.1,4553.6,4857.6,4784.4,4789.4,3856.3,3528.5,3850.4
Hacienda Cotové,Antioquía,Santafé de Antioquia,6.53,-75.83,534,Automática,4711.6,4502.2,4766.9,4630.8,4924.7,4837.6,4778.5,4962.8,5009.8,4817.2,4635,4437.3,4236.8
Rio Claro,Antioquía,Sonson,5.86,-74.85,449,Convencional,4503.4,4199.3,4188,4112.1,4762.9,4818.3,4650.9,4956.9,4898,4788,4184.2,4281.8,4200.9
