codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,valorobservado_lag_1,valorobservado_lag_2,valorobservado_lag_7,valorobservado_rolling_mean_7,valorobservado_rolling_std_7,valorobservado_rolling_mean_14,valorobservado_rolling_std_14,sin_mes,cos_mes,sin_dia_ano,cos_dia_ano,sin_dia_semana,cos_dia_semana
26237040,240,2020-03-11 01:40:00,0.0,PTO VALDIVIA,ANTIOQUIA,VALDIVIA,CAUCA,7.287,-75.396,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21205940,240,2020-03-11 01:50:00,0.0,VILLA INES  - AUT,CUNDINAMARCA,FACATATIVÁ,ALTO MAGDALENA,4.834972222,-74.38397222,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
2319500125,240,2020-03-11 02:00:00,0.0,POLIDEPORTIVO CACHIRA - AUT,NORTE DE SANTANDER,CÁCHIRA,MEDIO MAGDALENA,7.649638889,-73.178361111,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
1501700160,240,2020-03-11 02:10:00,0.0,RIO MANZANARES ALERTAS - AUT,MAGDALENA,SANTA MARTA,CARIBE - GUAJIRA,11.187080556,-74.096905556,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21185501,240,2020-03-11 02:15:00,0.0,ROVIRA  - AUT,TOLIMA,ROVIRA,ALTO MAGDALENA,4.266666667,-75.28305556,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
22057060,240,2020-03-11 02:20:00,0.0,LA MURALLA - AUT,TOLIMA,ATACO,SALDAÑA,3.481361111,-75.46697222,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
23035030,240,2020-03-11 02:20:00,0.1,BASE PALANQUERO  - AUT,CUNDINAMARCA,PUERTO SALGAR,MEDIO MAGDALENA,5.492861111,-74.658,Precipitacion,mm,0.0,0.0,0.0,0.014285714285714287,0.03779644730092272,0.0071428571428571435,0.02672612419124244,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
12015060,240,2020-03-11 02:30:00,0.0,TULENAPA  - AUT,ANTIOQUIA,CAREPA,CARIBE - LITORAL,7.773944444,-76.66575,Precipitacion,mm,0.1,0.0,0.0,0.014285714285714287,0.03779644730092272,0.0071428571428571435,0.02672612419124244,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
22057060,240,2020-03-11 02:40:00,0.0,LA MURALLA - AUT,TOLIMA,ATACO,SALDAÑA,3.481361111,-75.46697222,Precipitacion,mm,0.0,0.1,0.0,0.014285714285714287,0.03779644730092272,0.0071428571428571435,0.02672612419124244,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21127030,240,2020-03-11 02:40:00,0.0,SANTA MARIA  - AUT,HUILA,SANTA MARÍA,ALTO MAGDALENA,2.971777778,-75.59244444,Precipitacion,mm,0.0,0.0,0.0,0.014285714285714287,0.03779644730092272,0.0071428571428571435,0.02672612419124244,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
