codigo_estacion,nombre_estacion,departamento,municipio,latitud,longitud,cod_dpto_divipola,depto_normalizado
21205502,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,4.544997222,-74.44055556,25,CUNDINAMARCA
25020440,SAN PEDRO - LA MOJANA TX GPRS/GOES,SUCRE,SAN PEDRO,9.402,-75.016,70,SUCRE
23025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,5.044997222,-75.33221944,17,CALDAS
29047070,SAN PEDRITO - TX GPRS,ATLÁNTICO,SUAN,10.268,-74.908,08,ATLANTICO
28025502,APTO ALFONSO LOPEZ,CESAR,VALLEDUPAR,10.436,-73.248,20,CESAR
26115501,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,4.213611111,-76.31497222,76,VALLE DEL CAUCA
1206500136,UNIVERSIDAD UNAD CARTAGENA - AUT,BOLIVAR,CARTAGENA DE INDIAS,10.400311111,-75.513280556,13,BOLIVAR
26145503,ANSERMA  - AUT,CALDAS,ANSERMA,5.231330556,-75.77961667,17,CALDAS
11057020,SAN ANTONIO PADUA  - AUT,ANTIOQUIA,VIGIA DEL FUERTE,6.286666667,-76.76180556,05,ANTIOQUIA
21237020,ARRANCAPLUMAS  - AUT,CUNDINAMARCA,GUADUAS,5.202416667,-74.72761111,25,CUNDINAMARCA
21165502,VILLARICA  - AUT,TOLIMA,VILLARRICA,3.955641667,-74.59178611,73,TOLIMA
25025030,AYAPEL,CÓRDOBA,AYAPEL,8.295,-75.165,23,CORDOBA
24030680,EL PARAMO - AUT,SANTANDER,CARCASÍ,6.653333333,-72.59083333,68,SANTANDER
37015030,BERLIN - AUT,SANTANDER,TONA,7.187,-72.8685,68,SANTANDER
35105050,GUAICARAMO  - AUT,META,BARRANCA DE UPÍA,4.468666667,-72.95358333,50,META
5204700100,PUENTE LOS DOLORES - AUT,NARIÑO,PASTO,1.199805556,-77.265694444,52,NARINO
21127030,SANTA MARIA  - AUT,HUILA,SANTA MARÍA,2.971777778,-75.59244444,41,HUILA
2805500075,CURUMANÍ - AUT,CESAR,CURUMANÍ,9.238138889,-73.512916667,20,CESAR
25027750,SAN MARCOS - LA MOJANA TX GPRS/GOES,SUCRE,SAN MARCOS,8.655,-75.131,70,SUCRE
29035080,NORMAL MANATI  - AUT,ATLANTICO,MANATÍ,10.45358333,-74.95463889,08,ATLANTICO
44035040,FLORENCIA - AUT,CAQUETA,FLORENCIA,1.733,-75.64502778,18,CAQUETA
16015130,ALCALDIA DE HERRAN  - AUT,NORTE DE SANTANDER,HERRÁN,7.506722222,-72.48536111,54,NORTE DE SANTANDER
44017070,SANTA ROSA  - AUT,CAUCA,SANTA ROSA,1.705,-76.56222222,19,CAUCA
16025503,GRAMALOTE  - AUT,NORTE DE SANTANDER,GRAMALOTE,7.923163889,-72.83375556,54,NORTE DE SANTANDER
26155502,CENICAFE  - AUT,CALDAS,MANIZALES,4.991111111,-75.59749722,17,CALDAS
21115170,LA PLATA - AUT,HUILA,NEIVA,2.759138889,-75.07455556,41,HUILA
3519700092,MANI - AUT,CASANARE,MANI,4.816419444,-72.30865,85,CASANARE
21205710,JARDIN BOTANICO  - AUT,BOGOTA,"BOGOTA, D.C",4.669333333,-74.10266667,11,BOGOTA
26015030,PNN PURACE - AUT,CAUCA,PURACÉ (COCONUCO),2.356848889,-76.40354389,19,CAUCA
